,propeller,parent_f_name,parent_t_name,detected_topology,blades_similarity,topology_ration,Superkingdom,Phylum,Class,Order,Genus,Species,Classification,Termini_distance,Protein_coverage
798,WP_083374145.1_#1,ANAPC4_WD40,7-bladed,2,90.32,0.2857142857142857,Bacteria,Cyanobacteria,na,Oscillatoriales,Moorea,Moorea producens,Complete,2,23.509933774834437
799,WP_149031464.1_#1,ANAPC4_WD40,7-bladed,8,61.54,1.1428571428571428,Bacteria,Cyanobacteria,na,Oscillatoriales,Moorea,Moorea producens,Complete,283,33.685220729366605
800,WP_124155018.1_#1,ANAPC4_WD40,7-bladed,4,79.49,0.5714285714285714,Bacteria,Cyanobacteria,na,Oscillatoriales,Okeania,Okeania hirsuta,Complete,14,35.32008830022075
801,WP_094678810.1_#1,ANAPC4_WD40,7-bladed,7,66.67,1.0,Bacteria,Cyanobacteria,na,Oscillatoriales,Hydrocoleum,Hydrocoleum sp. CS-953,Complete,3,78.64864864864865
802,WP_094676718.1_#1,ANAPC4_WD40,7-bladed,7,63.41,1.0,Bacteria,Cyanobacteria,na,Oscillatoriales,Hydrocoleum,Hydrocoleum sp. CS-953,Complete,155,33.645955451348186
803,OZH54031.1_#1,ANAPC4_WD40,7-bladed,2,82.35,0.2857142857142857,Bacteria,Cyanobacteria,na,Oscillatoriales,Hydrocoleum,Hydrocoleum sp. CS-953,Complete,10,23.571428571428573
804,OZH53560.1_#1,ANAPC4_WD40,7-bladed,5,63.16,0.7142857142857143,Bacteria,Cyanobacteria,na,Oscillatoriales,Hydrocoleum,Hydrocoleum sp. CS-953,Complete,4,55.49132947976879
805,OZH53329.1_#1,ANAPC4_WD40,7-bladed,7,78.57,1.0,Bacteria,Cyanobacteria,na,Oscillatoriales,Hydrocoleum,Hydrocoleum sp. CS-953,Complete,1,87.58169934640523
806,EAW36886.1_#1,ANAPC4_WD40,7-bladed,7,81.08,1.0,Bacteria,Cyanobacteria,na,Oscillatoriales,Lyngbya,Lyngbya sp. PCC 8106,Complete,3,49.31506849315068
807,ERT09996.1_#1,ANAPC4_WD40,7-bladed,7,78.57,1.0,Bacteria,Cyanobacteria,na,Oscillatoriales,Lyngbya,Lyngbya aestuarii BL J,Complete,3,49.745331069609506
808,WP_006102203.1_#1,ANAPC4_WD40,7-bladed,6,70.37,0.8571428571428571,Bacteria,Cyanobacteria,na,Oscillatoriales,Coleofasciculus,Coleofasciculus chthonoplastes PCC 7420,Incomplete,41,15.318302387267904
809,WP_006102689.1_#1,ANAPC4_WD40,7-bladed,7,65.0,1.0,Bacteria,Cyanobacteria,na,Oscillatoriales,Coleofasciculus,Coleofasciculus chthonoplastes PCC 7420,Complete,4,44.00606980273141
810,WP_054469341.1_#1,ANAPC4_WD40,7-bladed,7,80.49,1.0,Bacteria,Cyanobacteria,na,Oscillatoriales,Planktothricoides,Planktothricoides sp. SR001,Complete,221,23.688524590163933
811,OJJ20734.1_#1,ANAPC4_WD40,7-bladed,5,75.61,0.7142857142857143,Bacteria,Cyanobacteria,na,Oscillatoriales,Roseofilum,Roseofilum reptotaenium AO1-A,Complete,46,25.25
812,OJJ27161.1_#1,ANAPC4_WD40,7-bladed,3,80.56,0.42857142857142855,Bacteria,Cyanobacteria,na,Oscillatoriales,Roseofilum,Roseofilum reptotaenium AO1-A,Complete,16,16.226912928759894
813,TRT63552.1_#1,ANAPC4_WD40,7-bladed,6,83.56,0.8571428571428571,Bacteria,Cyanobacteria,na,Chroococcales,Microcystis,Microcystis sp. M_QC_C_20170808_M3Col,Complete,4,36.74698795180723
814,CCI28321.1_#1,ANAPC4_WD40,7-bladed,6,75.87,0.8571428571428571,Bacteria,Cyanobacteria,na,Chroococcales,Microcystis,Microcystis aeruginosa PCC 9809,Complete,4,43.41880341880342
815,WP_002797361.1_#1,ANAPC4_WD40,7-bladed,7,82.5,1.0,Bacteria,Cyanobacteria,na,Chroococcales,Microcystis,Microcystis aeruginosa PCC 9809,Complete,4,41.117478510028654
816,CCI01679.1_#1,ANAPC4_WD40,7-bladed,7,80.49,1.0,Bacteria,Cyanobacteria,na,Chroococcales,Microcystis,Microcystis aeruginosa PCC 9443,Complete,4,68.75
817,TRU47298.1_#1,ANAPC4_WD40,7-bladed,7,82.5,1.0,Bacteria,Cyanobacteria,na,Chroococcales,Microcystis,Microcystis aeruginosa Ma_QC_Ca_00000000_S207,Complete,4,42.052023121387286
818,TRU55348.1_#1,ANAPC4_WD40,7-bladed,3,70.0,0.42857142857142855,Bacteria,Cyanobacteria,na,Chroococcales,Microcystis,Microcystis aeruginosa Ma_QC_C_20070823_S13,Complete,22,70.58823529411765
819,TRU83561.1_#1,ANAPC4_WD40,7-bladed,3,83.33,0.42857142857142855,Bacteria,Cyanobacteria,na,Chroococcales,Microcystis,Microcystis novacekii Mn_MB_F_20050700_S1D,Complete,13,68.0
820,WP_004268143.1_#1,ANAPC4_WD40,7-bladed,7,64.29,1.0,Bacteria,Cyanobacteria,na,Chroococcales,Microcystis,Microcystis aeruginosa PCC 9701,Complete,163,24.44260941370768
821,WP_147073647.1_#1,ANAPC4_WD40,7-bladed,7,78.57,1.0,Bacteria,Cyanobacteria,na,Chroococcales,Microcystis,Microcystis aeruginosa 11-30S32,Complete,2,40.915593705293276
822,WP_108936201.1_#1,ANAPC4_WD40,7-bladed,7,86.49,1.0,Bacteria,Cyanobacteria,na,Chroococcales,Microcystis,Microcystis sp. 0824,Complete,2,40.83094555873925
823,CCI09334.1_#1,ANAPC4_WD40,7-bladed,6,79.71,0.8571428571428571,Bacteria,Cyanobacteria,na,Chroococcales,Microcystis,Microcystis aeruginosa PCC 7941,Complete,2,85.1985559566787
824,WP_002777881.1_#1,ANAPC4_WD40,7-bladed,7,87.18,1.0,Bacteria,Cyanobacteria,na,Chroococcales,Microcystis,Microcystis aeruginosa PCC 7941,Complete,4,42.29137199434229
825,WP_149977747.1_#1,ANAPC4_WD40,7-bladed,7,81.58,1.0,Bacteria,Cyanobacteria,na,Chroococcales,Microcystis,Microcystis aeruginosa NIES-4264,Complete,2,41.0919540229885
826,WP_042790579.1_#1,ANAPC4_WD40,7-bladed,7,85.71,1.0,Bacteria,Cyanobacteria,na,Chroococcales,Microcystis,Microcystis aeruginosa NIES-98,Complete,4,41.05865522174535
827,CCI16280.1_#1,ANAPC4_WD40,7-bladed,8,84.52,1.1428571428571428,Bacteria,Cyanobacteria,na,Chroococcales,Microcystis,Microcystis aeruginosa PCC 9807,Complete,1,91.14285714285714
828,TRV08166.1_#1,ANAPC4_WD40,7-bladed,4,82.2,0.5714285714285714,Bacteria,Cyanobacteria,na,Chroococcales,Microcystis,Microcystis wesenbergii Mw_MB_S_20031200_S109D,Complete,10,74.14634146341463
829,WP_152607001.1_#1,ANAPC4_WD40,7-bladed,4,76.92,0.5714285714285714,Bacteria,Cyanobacteria,na,Chroococcales,Microcystis,Microcystis aeruginosa,Complete,1,98.87640449438203
830,WP_103672742.1_#1,ANAPC4_WD40,7-bladed,4,77.27,0.5714285714285714,Bacteria,Cyanobacteria,na,Chroococcales,Microcystis,Microcystis aeruginosa,Complete,17,77.98165137614679
831,REJ58087.1_#1,ANAPC4_WD40,7-bladed,7,75.61,1.0,Bacteria,Cyanobacteria,na,Chroococcales,Microcystis,Microcystis wesenbergii TW10,Complete,4,47.29064039408867
832,WP_110580561.1_#1,ANAPC4_WD40,7-bladed,4,79.27,0.5714285714285714,Bacteria,Cyanobacteria,na,Chroococcales,Microcystis,Microcystis aeruginosa Sj,Complete,19,70.61611374407583
833,WP_066029754.1_#1,ANAPC4_WD40,7-bladed,7,82.93,1.0,Bacteria,Cyanobacteria,na,Chroococcales,Microcystis,Microcystis aeruginosa NIES-2481,Complete,4,41.05865522174535
834,WP_106908919.1_#1,ANAPC4_WD40,7-bladed,7,80.95,1.0,Bacteria,Cyanobacteria,na,Chroococcales,Microcystis,Microcystis sp. MC19,Complete,4,45.33965244865719
835,WP_002758613.1_#1,ANAPC4_WD40,7-bladed,7,78.05,1.0,Bacteria,Cyanobacteria,na,Chroococcales,Microcystis,Microcystis aeruginosa PCC 9717,Complete,4,42.14992927864215
836,WP_002756816.1_#1,ANAPC4_WD40,7-bladed,5,66.67,0.7142857142857143,Bacteria,Cyanobacteria,na,Chroococcales,Microcystis,Microcystis aeruginosa PCC 9717,Incomplete,18,24.40251572327044
837,WP_125730552.1_#1,ANAPC4_WD40,7-bladed,5,97.44,0.7142857142857143,Bacteria,Cyanobacteria,na,Chroococcales,Microcystis,Microcystis viridis,Complete,0,95.63106796116504
838,TRU97948.1_#1,ANAPC4_WD40,7-bladed,5,80.49,0.7142857142857143,Bacteria,Cyanobacteria,na,Chroococcales,Microcystis,Microcystis wesenbergii Mw_QC_S_20081001_S30D,Complete,8,79.11646586345381
839,WP_149989122.1_#1,ANAPC4_WD40,7-bladed,7,82.5,1.0,Bacteria,Cyanobacteria,na,Chroococcales,Microcystis,Microcystis aeruginosa NIES-2522,Complete,4,41.235632183908045
840,WP_149973285.1_#1,ANAPC4_WD40,7-bladed,6,89.05,0.8571428571428571,Bacteria,Cyanobacteria,na,Chroococcales,Microcystis,Microcystis aeruginosa NIES-2521,Complete,4,42.857142857142854
841,GEA28324.1_#1,ANAPC4_WD40,7-bladed,4,94.59,0.5714285714285714,Bacteria,Cyanobacteria,na,Chroococcales,Microcystis,Microcystis aeruginosa NIES-4325,Complete,2,97.36842105263158
842,GEA28055.1_#1,ANAPC4_WD40,7-bladed,7,85.37,1.0,Bacteria,Cyanobacteria,na,Chroococcales,Microcystis,Microcystis aeruginosa NIES-4325,Complete,4,62.03319502074689
843,WP_104395810.1_#1,ANAPC4_WD40,7-bladed,6,79.53,0.8571428571428571,Bacteria,Cyanobacteria,na,Chroococcales,Microcystis,Microcystis aeruginosa NIES-87,Complete,4,38.333333333333336
844,WP_149978740.1_#1,ANAPC4_WD40,7-bladed,4,83.38,0.5714285714285714,Bacteria,Cyanobacteria,na,Chroococcales,Microcystis,Microcystis aeruginosa NIES-2519,Complete,19,69.26605504587155
845,WP_149978889.1_#1,ANAPC4_WD40,7-bladed,7,82.5,1.0,Bacteria,Cyanobacteria,na,Chroococcales,Microcystis,Microcystis aeruginosa NIES-2519,Complete,4,38.888888888888886
846,WP_052276253.1_#1,ANAPC4_WD40,7-bladed,7,85.71,1.0,Bacteria,Cyanobacteria,na,Chroococcales,Microcystis,Microcystis panniformis FACHB-1757,Complete,4,40.82503556187767
847,WP_016516654.1_#1,ANAPC4_WD40,7-bladed,4,76.25,0.5714285714285714,Bacteria,Cyanobacteria,na,Chroococcales,Microcystis,Microcystis aeruginosa Ma_MB_F_20061100_S19,Complete,3,75.12437810945273
848,REJ44776.1_#1,ANAPC4_WD40,7-bladed,7,82.93,1.0,Bacteria,Cyanobacteria,na,Chroococcales,Microcystis,Microcystis flos-aquae TF09,Complete,4,41.235632183908045
849,OCY14266.1_#1,ANAPC4_WD40,7-bladed,6,82.84,0.8571428571428571,Bacteria,Cyanobacteria,na,Chroococcales,Microcystis,Microcystis aeruginosa CACIAM 03,Complete,2,36.986301369863014
850,WP_046661791.1_#1,ANAPC4_WD40,7-bladed,7,84.21,1.0,Bacteria,Cyanobacteria,na,Chroococcales,Microcystis,Microcystis aeruginosa NIES-2549,Complete,2,40.3954802259887
851,TRU34720.1_#1,ANAPC4_WD40,7-bladed,7,80.0,1.0,Bacteria,Cyanobacteria,na,Chroococcales,Microcystis,Microcystis aeruginosa Ma_MB_F_20061100_S20,Complete,4,45.786963434022255
852,WP_066343239.1_#1,ANAPC4_WD40,7-bladed,6,79.56,0.8571428571428571,Bacteria,Cyanobacteria,na,Chroococcales,Geminocystis,Geminocystis sp. NIES-3708,Complete,3,54.32372505543237
853,WP_084202382.1_#1,ANAPC4_WD40,7-bladed,8,70.0,1.1428571428571428,Bacteria,Cyanobacteria,na,Chroococcales,Rubidibacter,Rubidibacter lacunae,Complete,5,63.888888888888886
854,WP_013324439.1_#1,ANAPC4_WD40,7-bladed,7,90.48,1.0,Bacteria,Cyanobacteria,na,Chroococcales,Gloeothece,Gloeothece verrucosa PCC 7822,Complete,4,41.0
855,CCQ62694.1_#1,ANAPC4_WD40,7-bladed,2,73.21,0.2857142857142857,Bacteria,Cyanobacteria,na,Chroococcales,Crocosphaera,Crocosphaera watsonii WH 0401,Complete,211,12.704174228675136
856,CCQ62694.1_#2,ANAPC4_WD40,7-bladed,4,65.36,0.5714285714285714,Bacteria,Cyanobacteria,na,Chroococcales,Crocosphaera,Crocosphaera watsonii WH 0401,Complete,10,33.21234119782214
857,WP_082168039.1_#1,ANAPC4_WD40,7-bladed,7,82.14,1.0,Bacteria,Cyanobacteria,na,Chroococcales,Crocosphaera,Crocosphaera watsonii,Complete,27,70.58823529411765
858,CCQ68491.1_#1,ANAPC4_WD40,7-bladed,4,63.86,0.5714285714285714,Bacteria,Cyanobacteria,na,Chroococcales,Crocosphaera,Crocosphaera watsonii WH 0402,Complete,19,28.02013422818792
859,CCQ55307.1_#1,ANAPC4_WD40,7-bladed,7,82.05,1.0,Bacteria,Cyanobacteria,na,Chroococcales,Crocosphaera,Crocosphaera watsonii WH 0005,Complete,9,88.46153846153847
860,CCQ55780.1_#1,ANAPC4_WD40,7-bladed,3,75.68,0.42857142857142855,Bacteria,Cyanobacteria,na,Chroococcales,Crocosphaera,Crocosphaera watsonii WH 0005,Complete,3,74.67532467532467
861,WP_015141451.1_#1,ANAPC4_WD40,7-bladed,7,73.17,1.0,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc sp. PCC 7524,Complete,108,38.188976377952756
862,WP_015137944.1_#1,ANAPC4_WD40,7-bladed,7,80.95,1.0,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc sp. PCC 7524,Complete,4,46.141975308641975
863,WP_094348691.1_#1,ANAPC4_WD40,7-bladed,6,89.14,0.8571428571428571,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc sp. 'Peltigera membranacea cyanobiont' 210A,Complete,105,16.632722335369994
864,WP_096556028.1_#1,ANAPC4_WD40,7-bladed,7,64.29,1.0,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc sp. NIES-4103,Complete,5,44.06015037593985
865,OUL36640.1_#1,ANAPC4_WD40,7-bladed,4,68.75,0.5714285714285714,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc sp. T09,Complete,3,54.57746478873239
866,WP_073642219.1_#1,ANAPC4_WD40,7-bladed,7,64.29,1.0,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc calcicola FACHB-389,Complete,4,42.73255813953488
867,WP_073640292.1_#1,ANAPC4_WD40,7-bladed,6,92.77,0.8571428571428571,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc calcicola FACHB-389,Complete,53,21.742957746478872
868,WP_073639550.1_#1,ANAPC4_WD40,7-bladed,7,68.29,1.0,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc calcicola FACHB-389,Complete,3,43.597122302158276
869,BBD65423.1_#1,ANAPC4_WD40,7-bladed,4,81.82,0.5714285714285714,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc commune NIES-4072,Complete,6,22.857142857142858
870,BBD65422.1_#1,ANAPC4_WD40,7-bladed,4,87.6,0.5714285714285714,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc commune NIES-4072,Complete,5,76.16580310880829
871,WP_062290966.1_#1,ANAPC4_WD40,7-bladed,7,72.5,1.0,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc piscinale CENA21,Complete,4,51.42857142857143
872,WP_062290969.1_#1,ANAPC4_WD40,7-bladed,7,73.68,1.0,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc piscinale CENA21,Complete,4,55.6390977443609
873,WP_062290889.1_#1,ANAPC4_WD40,7-bladed,7,78.57,1.0,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc piscinale CENA21,Complete,4,51.37614678899082
874,WP_062294107.1_#1,ANAPC4_WD40,7-bladed,7,60.53,1.0,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc piscinale CENA21,Complete,1,41.43884892086331
875,WP_094346412.1_#1,ANAPC4_WD40,7-bladed,7,64.0,1.0,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc sp. 'Peltigera membranacea cyanobiont' 232,Complete,7,84.82972136222911
876,WP_094342669.1_#1,ANAPC4_WD40,7-bladed,7,64.71,1.0,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc sp. 'Peltigera membranacea cyanobiont' 232,Complete,4,42.503639010189225
877,OCR00047.1_#1,ANAPC4_WD40,7-bladed,7,69.05,1.0,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc sp. MBR 210,Complete,3,41.117478510028654
878,RCJ14496.1_#1,ANAPC4_WD40,7-bladed,7,75.68,1.0,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc sp. ATCC 43529,Complete,4,48.86164623467601
879,RCJ25351.1_#1,ANAPC4_WD40,7-bladed,6,73.81,0.8571428571428571,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc sp. ATCC 43529,Complete,151,32.21216041397154
880,WP_099100542.1_#1,ANAPC4_WD40,7-bladed,4,61.54,0.5714285714285714,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc sp. 'Peltigera malacea cyanobiont' DB3992,Complete,115,25.271317829457363
881,WP_144427423.1_#1,ANAPC4_WD40,7-bladed,3,81.93,0.42857142857142855,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc piscinale,Complete,4,85.46511627906976
882,WP_062294799.1_#1,ANAPC4_WD40,7-bladed,6,80.0,0.8571428571428571,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc piscinale,Complete,2,92.3076923076923
883,RCJ38368.1_#1,ANAPC4_WD40,7-bladed,7,67.65,1.0,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc minutum NIES-26,Complete,12,42.22222222222222
884,RCJ30609.1_#1,ANAPC4_WD40,7-bladed,7,70.71,1.0,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc minutum NIES-26,Complete,40,51.578947368421055
885,WP_099070475.1_#1,ANAPC4_WD40,7-bladed,7,65.85,1.0,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc linckia z16,Complete,4,52.2140221402214
886,WP_099070474.1_#1,ANAPC4_WD40,7-bladed,7,65.71,1.0,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc linckia z16,Complete,2,48.51657940663176
887,QFS43313.1_#1,ANAPC4_WD40,7-bladed,7,75.0,1.0,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc sphaeroides CCNUC1,Complete,3,43.75
888,WP_152589885.1_#1,ANAPC4_WD40,7-bladed,7,73.44,1.0,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc sphaeroides CCNUC1,Complete,74,40.027137042062414
889,WP_104910067.1_#1,ANAPC4_WD40,7-bladed,7,81.41,1.0,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc sp. 'Lobaria pulmonaria (5183) cyanobiont',Complete,3,79.37853107344633
890,WP_104909252.1_#1,ANAPC4_WD40,7-bladed,7,60.98,1.0,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc sp. 'Lobaria pulmonaria (5183) cyanobiont',Complete,11,41.54518950437318
891,WP_086834831.1_#1,ANAPC4_WD40,7-bladed,7,65.79,1.0,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc sp. RF31Y,Complete,3,42.79346210995542
892,WP_086836660.1_#1,ANAPC4_WD40,7-bladed,5,67.5,0.7142857142857143,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc sp. RF31Y,Complete,8,29.74588938714499
893,WP_086835771.1_#1,ANAPC4_WD40,7-bladed,7,64.29,1.0,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc sp. RF31Y,Complete,2,43.96423248882265
894,OUL20120.1_#1,ANAPC4_WD40,7-bladed,3,80.0,0.42857142857142855,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc sp. RF31Y,Complete,227,7.926023778071334
895,WP_103135687.1_#1,ANAPC4_WD40,7-bladed,7,82.5,1.0,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc sp. CENA543,Complete,4,48.771929824561404
896,WP_114084242.1_#1,ANAPC4_WD40,7-bladed,4,74.36,0.5714285714285714,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc sp. ATCC 53789,Complete,31,18.531073446327685
897,WP_114081226.1_#1,ANAPC4_WD40,7-bladed,3,94.87,0.42857142857142855,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc sp. ATCC 53789,Complete,151,25.949367088607595
898,WP_114081226.1_#2,ANAPC4_WD40,7-bladed,4,81.58,0.5714285714285714,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc sp. ATCC 53789,Complete,21,33.755274261603375
899,AUB40555.1_#1,ANAPC4_WD40,7-bladed,7,75.61,1.0,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc flagelliforme CCNUN1,Complete,13,84.21052631578948
900,BBD59239.1_#1,ANAPC4_WD40,7-bladed,7,69.05,1.0,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc sp. HK-01,Complete,3,40.82503556187767
901,BBD61387.1_#1,ANAPC4_WD40,7-bladed,7,73.81,1.0,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc sp. HK-01,Complete,3,42.10526315789474
902,BBD61132.1_#1,ANAPC4_WD40,7-bladed,6,85.19,0.8571428571428571,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc sp. HK-01,Complete,0,17.71043771043771
903,BBD59134.1_#1,ANAPC4_WD40,7-bladed,3,68.0,0.42857142857142855,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc sp. HK-01,Complete,30,17.959183673469386
904,WP_086762166.1_#1,ANAPC4_WD40,7-bladed,7,64.71,1.0,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc sp. 106C,Complete,4,43.666169895678095
905,WP_015113512.1_#1,ANAPC4_WD40,7-bladed,7,80.95,1.0,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc sp. PCC 7107,Complete,3,42.020497803806734
906,WP_015114775.1_#1,ANAPC4_WD40,7-bladed,6,71.43,0.8571428571428571,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc sp. PCC 7107,Complete,2,39.72027972027972
907,WP_015114796.1_#1,ANAPC4_WD40,7-bladed,5,84.21,0.7142857142857143,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc sp. PCC 7107,Incomplete,3,29.226361031518625
908,WP_096727605.1_#1,ANAPC4_WD40,7-bladed,7,76.19,1.0,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc carneum NIES-2107,Complete,3,41.874084919472914
909,WP_069070447.1_#1,ANAPC4_WD40,7-bladed,7,73.81,1.0,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc sp. KVJ20,Complete,3,42.10526315789474
910,WP_100903057.1_#1,ANAPC4_WD40,7-bladed,7,63.41,1.0,Bacteria,Cyanobacteria,na,Nostocales,Nostoc,Nostoc flagelliforme,Complete,8,93.50649350649351
911,KIF38056.1_#1,ANAPC4_WD40,7-bladed,7,65.85,1.0,Bacteria,Cyanobacteria,na,Nostocales,Hassallia,Hassallia byssoidea VB512170,Complete,4,43.38461538461539
912,KIF28253.1_#1,ANAPC4_WD40,7-bladed,7,66.67,1.0,Bacteria,Cyanobacteria,na,Nostocales,Hassallia,Hassallia byssoidea VB512170,Complete,3,86.35014836795253
913,WP_029634242.1_#2,ANAPC4_WD40,7-bladed,2,70.69,0.2857142857142857,Bacteria,Cyanobacteria,na,Nostocales,Scytonema,Scytonema hofmanni,Complete,16,19.774011299435028
914,WP_029632569.1_#1,ANAPC4_WD40,7-bladed,7,64.29,1.0,Bacteria,Cyanobacteria,na,Nostocales,Scytonema,Scytonema hofmanni,Complete,2,47.077922077922075
915,WP_029632542.1_#1,ANAPC4_WD40,7-bladed,7,62.5,1.0,Bacteria,Cyanobacteria,na,Nostocales,Scytonema,Scytonema hofmanni,Complete,4,88.20058997050147
916,WP_084763472.1_#1,ANAPC4_WD40,7-bladed,4,74.06,0.5714285714285714,Bacteria,Cyanobacteria,na,Nostocales,Scytonema,Scytonema hofmanni,Complete,39,52.17391304347826
917,WP_083554233.1_#1,ANAPC4_WD40,7-bladed,7,66.67,1.0,Bacteria,Cyanobacteria,na,Nostocales,Scytonema,Scytonema tolypothrichoides VB-61278,Complete,2,40.915593705293276
918,WP_073634376.1_#1,ANAPC4_WD40,7-bladed,2,86.11,0.2857142857142857,Bacteria,Cyanobacteria,na,Nostocales,Scytonema,Scytonema sp. HK-05,Complete,276,5.473684210526316
919,WP_073635186.1_#1,ANAPC4_WD40,7-bladed,4,79.49,0.5714285714285714,Bacteria,Cyanobacteria,na,Nostocales,Scytonema,Scytonema sp. HK-05,Complete,47,45.0
920,WP_073635029.1_#1,ANAPC4_WD40,7-bladed,7,71.43,1.0,Bacteria,Cyanobacteria,na,Nostocales,Scytonema,Scytonema sp. HK-05,Complete,4,43.34319526627219
921,BAY49524.1_#1,ANAPC4_WD40,7-bladed,4,82.61,0.5714285714285714,Bacteria,Cyanobacteria,na,Nostocales,Scytonema,Scytonema sp. HK-05,Complete,1,81.06796116504854
922,WP_069351331.1_#1,ANAPC4_WD40,7-bladed,7,63.41,1.0,Bacteria,Cyanobacteria,na,Nostocales,Scytonema,Scytonema millei VB511283,Complete,6,82.3699421965318
923,WP_069351342.1_#1,ANAPC4_WD40,7-bladed,6,61.9,0.8571428571428571,Bacteria,Cyanobacteria,na,Nostocales,Scytonema,Scytonema millei VB511283,Complete,4,37.23076923076923
924,WP_096561702.1_#1,ANAPC4_WD40,7-bladed,7,81.08,1.0,Bacteria,Cyanobacteria,na,Nostocales,Scytonema,Scytonema sp. NIES-4073,Complete,3,41.67893961708395
925,BAZ00951.1_#1,ANAPC4_WD40,7-bladed,7,78.38,1.0,Bacteria,Cyanobacteria,na,Nostocales,Aulosira,Aulosira laxa NIES-50,Complete,0,42.433234421364986
926,WP_089129324.1_#1,ANAPC4_WD40,7-bladed,7,66.67,1.0,Bacteria,Cyanobacteria,na,Nostocales,Tolypothrix,Tolypothrix sp. NIES-4075,Complete,3,46.763754045307444
927,WP_089130024.1_#1,ANAPC4_WD40,7-bladed,7,77.5,1.0,Bacteria,Cyanobacteria,na,Nostocales,Tolypothrix,Tolypothrix sp. NIES-4075,Complete,4,59.716599190283404
928,WP_089125984.1_#1,ANAPC4_WD40,7-bladed,7,64.71,1.0,Bacteria,Cyanobacteria,na,Nostocales,Tolypothrix,Tolypothrix sp. NIES-4075,Complete,4,96.03960396039604
929,WP_041038482.1_#1,ANAPC4_WD40,7-bladed,7,76.19,1.0,Bacteria,Cyanobacteria,na,Nostocales,Tolypothrix,Tolypothrix campylonemoides VB511288,Complete,3,45.45454545454545
930,EKF04447.1_#1,ANAPC4_WD40,7-bladed,7,75.0,1.0,Bacteria,Cyanobacteria,na,Nostocales,Tolypothrix,Tolypothrix sp. PCC 7601,Complete,3,44.39393939393939
931,WP_131119268.1_#1,ANAPC4_WD40,7-bladed,7,71.43,1.0,Bacteria,Cyanobacteria,na,Nostocales,Westiellopsis,Westiellopsis prolifica IICB1,Complete,4,52.285191956124315
